line_label;line_name;from_station;to_station;station_order;station_name;longitude [deg];latitude [deg];crossing;crossing_lines
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);1;J.F. Kennedy;-1.7112751;48.1213127;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);2;Villejean - Université;-1.7039216;48.1212281;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);3;Pontchaillou;-1.6933994;48.1215446;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);4;Anatole France;-1.6876157;48.1181234;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);5;Sainte-Anne;-1.680525;48.1145349;yes;['a', 'b']
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);6;République;-1.6792077;48.1097595;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);7;Charles de Gaulle;-1.6768556;48.1054507;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);8;Gares;-1.6722505;48.1038315;yes;['a', 'b']
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);9;Jacques Cartier;-1.6754729;48.0975447;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);10;Clemenceau;-1.6744399;48.093493;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);11;Henri Fréville;-1.6748324;48.0876759;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);12;Italie;-1.6679201;48.0865537;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);13;Triangle;-1.6603593;48.0864251;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);14;Le Blosne;-1.6542818;48.0877194;no;
a;Métro Rennes Ligne a Direction Rennes (La Poterie);J.F. Kennedy;Rennes (La Poterie);15;La Poterie;-1.6445747;48.0874766;no;
a;Métro Rennes Ligne a Direction Rennes (J.F. Kennedy);Rennes (La Poterie);Rennes (J.F. Kennedy);1;La Poterie;-1.6445739;48.0875085;no;
a;Métro Rennes Ligne a Direction Rennes (J.F. Kennedy);Rennes (La Poterie);Rennes (J.F. Kennedy);2;Le Blosne;-1.6542812;48.0877451;no;
a;Métro Rennes Ligne a Direction Rennes (J.F. Kennedy);Rennes (La Poterie);Rennes (J.F. Kennedy);3;Triangle;-1.6603575;48.08645;no;
a;Métro Rennes Ligne a Direction Rennes (J.F. Kennedy);Rennes (La Poterie);Rennes (J.F. Kennedy);4;Italie;-1.6679205;48.0865793;no;
